['11542', 'Yearly', '6939 days']
['11543', 'Daily', '15 days']
['11547', 'Yearly', '6574 days']
['11544', 'One-off', '16258 days']
['11545', 'Monthly', '578 days']
['11549', 'Monthly', '395 days']
['19399', 'Monthly', '2007 days']
['5982', 'One-off', '17090 days']
['19396', 'Daily', '54 days']
['19395', 'Daily', '6 days']
['5981', 'Monthly', '1765 days']
['5984', 'Daily', '38 days']
['5985', 'Daily', '55 days']
['46139', 'Daily', '48 days']
['46138', 'Daily', '30 days']
['46136', 'One-off', '13260 days']
['53907', 'Daily', '10 days']
['46132', 'Daily', '3 days']
['46131', 'Daily', '47 days']
['57488', 'Yearly', '9131 days']
['19971', 'Monthly', '2465 days']
['19970', 'Yearly', '5113 days']
['19977', 'Daily', '14 days']
['19976', 'Daily', '4 days']
['19974', 'Yearly', '3287 days']
['16705', 'Daily', '47 days']
['16704', 'Monthly', '2710 days']
['16707', 'Yearly', '11323 days']
['16706', 'Monthly', '2404 days']
['16701', 'Yearly', '4749 days']
['16703', 'One-off', '11147 days']
['42087', 'Monthly', '303 days']
['42086', 'Monthly', '1916 days']
['12015', 'Monthly', '2740 days']
['12014', 'One-off', '15383 days']
['12016', 'Monthly', '669 days']
['12011', 'Monthly', '1430 days']
['46706', 'Monthly', '2649 days']
['17258', 'Daily', '42 days']
['17259', 'Monthly', '670 days']
['17250', 'One-off', '18008 days']
['17251', 'Monthly', '243 days']
['17252', 'Yearly', '10227 days']
['52463', 'Monthly', '1827 days']
['17254', 'Yearly', '4018 days']
['17255', 'One-off', '17831 days']
['17256', 'Monthly', '549 days']
['17257', 'Yearly', '15706 days']
['10708', 'Daily', '34 days']
['9258', 'Monthly', '153 days']
['53733', 'One-off', '15641 days']
['9257', 'Yearly', '8401 days']
['53731', 'Daily', '11 days']
['53730', 'One-off', '13864 days']
['53737', 'Monthly', '1885 days']
['53736', 'Monthly', '791 days']
['9250', 'Monthly', '273 days']
['9251', 'Daily', '6 days']
['46793', 'Monthly', '1583 days']
['46791', 'One-off', '15951 days']
['46790', 'One-off', '12000 days']
['46797', 'Monthly', '2586 days']
['46796', 'Yearly', '6209 days']
['46794', 'One-off', '17717 days']
['49565', 'Monthly', '1857 days']
['49567', 'Yearly', '7670 days']
['46798', 'Yearly', '6940 days']
['49560', 'Yearly', '14610 days']
['21613', 'Monthly', '2740 days']
['19397', 'One-off', '11257 days']
['45449', 'Monthly', '1036 days']
['45446', 'Daily', '16 days']
['45447', 'Monthly', '2131 days']
['45445', 'Monthly', '244 days']
['5980', 'Daily', '32 days']
['44799', 'Yearly', '2922 days']
['44791', 'Yearly', '3652 days']
['44790', 'Monthly', '1249 days']
['44793', 'Monthly', '458 days']
['44795', 'One-off', '17650 days']
['44794', 'One-off', '11010 days']
['44797', 'Monthly', '365 days']
['44796', 'One-off', '17395 days']
['46869', 'Monthly', '1248 days']
['46868', 'Monthly', '335 days']
['58079', 'Monthly', '426 days']
['19391', 'One-off', '9443 days']
['58075', 'Monthly', '2009 days']
['58074', 'One-off', '15537 days']
['46862', 'One-off', '12386 days']
['46864', 'Yearly', '7670 days']
['46867', 'Daily', '53 days']
['58072', 'Monthly', '244 days']
['20156', 'Daily', '44 days']
['33303', 'Yearly', '1826 days']
